model,base_price,delivery_charge,final_price,year,brand
e-tron GT quattro,104900.0,1495.0,106395.0,2023,Audi
RS e-tron GT quattro,143900.0,1495.0,145395.0,2023,Audi
Q8 e-tron,74400.0,1195.0,75595.0,2024,Audi
Q8 e-tron Sportback (Ultra pack),77800.0,1195.0,78995.0,2024,Audi
Q8 e-tron Sportback,77800.0,1195.0,78995.0,2024,Audi
Q4,49800.0,1195.0,50995.0,2023,Audi
Q4,55200.0,1195.0,56395.0,2023,Audi
Q4 Sportback,58200.0,1195.0,59395.0,2023,Audi
i4 eDrive35,52000.0,995.0,52995.0,2023,BMW
i4 eDrive35,52600.0,995.0,53595.0,2023,BMW
i4 eDrive40,57100.0,995.0,58095.0,2023,BMW
i4 eDrive40,57700.0,995.0,58695.0,2023,BMW
i4 M50,68700.0,995.0,69695.0,2023,BMW
i4 M50,71200.0,995.0,72195.0,2023,BMW
i7 xDrive60,119300.0,995.0,120295.0,2023,BMW
i7 xDrive60,119300.0,995.0,120295.0,2023,BMW
i7 xDrive60,120600.0,995.0,121595.0,2023,BMW
iX xDrive50,84100.0,995.0,85095.0,2023,BMW
iX xDrive50,85050.0,995.0,86045.0,2023,BMW
iX xDrive50,86000.0,995.0,86995.0,2023,BMW
iX M60,108900.0,995.0,109895.0,2023,BMW
iX M60,109750.0,995.0,110745.0,2023,BMW
Lyriq Tech RWD,57195.0,1395.0,58590.0,2024,Cadillac
Lyriq Tech AWD,60695.0,1395.0,62090.0,2024,Cadillac
Bolt EV,26500.0,995.0,27495.0,2023,Chevrolet
Bolt EUV LT,27800.0,995.0,28795.0,2023,Chevrolet
F-150 Lightning Pro SR,59974.0,1895.0,61869.0,2023,Ford
F-150 Lightning Pro ER (fleets),54369.0,1895.0,56264.0,2023,Ford
F-150 Lightning XLT SR,64474.0,1895.0,66369.0,2023,Ford
F-150 Lightning XLT ER,78874.0,1895.0,80769.0,2023,Ford
F-150 Lightning Lariat SR,76974.0,1895.0,78869.0,2023,Ford
F-150 Lightning Lariat ER,85974.0,1895.0,87869.0,2023,Ford
F-150 Lightning Platinum ER,98074.0,1895.0,99969.0,2023,Ford
Mustang Mach-E Select SR LFP RWD,42995.0,1800.0,44795.0,2023,Ford
Mustang Mach-E Select SR LFP AWD,45995.0,1800.0,47795.0,2023,Ford
Mustang Mach-E Premium SR LFP RWD,46995.0,1800.0,48795.0,2023,Ford
Mustang Mach-E Premium SR LFP AWD,49995.0,1800.0,51795.0,2023,Ford
Mustang Mach-E Premium ER RWD,53995.0,1800.0,55795.0,2023,Ford
Mustang Mach-E Premium ER AWD,56995.0,1800.0,58795.0,2023,Ford
Mustang Mach-E Route,56995.0,1800.0,58795.0,2023,Ford
Mustang Mach-E GT ER AWD,59995.0,1800.0,61795.0,2023,Ford
Mustang Mach-E GT Perf. ER AWD,64995.0,1800.0,66795.0,2023,Ford
Electrified G80 AWD,79825.0,1095.0,80920.0,2023,Genesis
GV60 Advanced AWD,59290.0,1125.0,60415.0,2023,Genesis
GV60 Performance AWD,68290.0,1125.0,69415.0,2023,Genesis
Electrified GV70 Advanced AWD,65850.0,1125.0,66975.0,2023,Genesis
Hummer EV Pickup (Edition,108700.0,1595.0,110295.0,2022,GMC
Hummer EV Pickup (3X),104650.0,1595.0,106245.0,2023,GMC
Hummer EV Pickup (2X),94650.0,1595.0,96245.0,2024,GMC
Hummer EV Pickup (2),84650.0,1595.0,86245.0,2024,GMC
Hummer EV SUV (Edition,104000.0,1595.0,105595.0,2024,GMC
Hummer EV SUV (3X),104650.0,1595.0,106245.0,2024,GMC
Hummer EV SUV (2X),94650.0,1595.0,96245.0,2024,GMC
Hummer EV SUV (2),84650.0,1595.0,86245.0,2024,GMC
Ioniq,41450.0,1335.0,42785.0,2023,Hyundai
Ioniq,45500.0,1335.0,46835.0,2023,Hyundai
Ioniq,49000.0,1335.0,50335.0,2023,Hyundai
Ioniq,47450.0,1335.0,48785.0,2023,Hyundai
Ioniq,50950.0,1335.0,52285.0,2023,Hyundai
Ioniq,52600.0,1335.0,53935.0,2022,Hyundai
Ioniq,56500.0,1335.0,57835.0,2022,Hyundai
Ioniq,41600.0,1115.0,42715.0,2023,Hyundai
Ioniq,45500.0,1115.0,46615.0,2023,Hyundai
Ioniq,49000.0,1115.0,50115.0,2023,Hyundai
Ioniq,47700.0,1115.0,48815.0,2023,Hyundai
Ioniq,51200.0,1115.0,52315.0,2023,Hyundai
Ioniq,52600.0,1115.0,53715.0,2023,Hyundai
Ioniq,56100.0,1115.0,57215.0,2023,Hyundai
Kona Electric,33550.0,1335.0,34885.0,2023,Hyundai
I-PACE EV400,71300.0,1275.0,72575.0,2023,Jaguar
I-PACE EV400,72700.0,1275.0,73975.0,2023,Jaguar
EV6 RWD SR,42600.0,1325.0,43925.0,2023,Kia
EV6 Wind RWD LR,48700.0,1325.0,50025.0,2023,Kia
EV6 Wind AWD LR,52600.0,1325.0,53925.0,2023,Kia
EV6 GT-Line RWD LR,52900.0,1325.0,54225.0,2023,Kia
EV6 GT-Line AWD LR,57600.0,1325.0,58925.0,2023,Kia
EV6 GT AWD LR,61600.0,1325.0,62925.0,2023,Kia
Niro EV,39550.0,1325.0,40875.0,2023,Kia
RZ,58500.0,1150.0,59650.0,2023,Lexus
RZ,59740.0,1150.0,60890.0,2023,Lexus
RZ,64000.0,1150.0,65150.0,2023,Lexus
Endurance,65060.0,1800.0,66860.0,2023,Lordstown
Air Pure RWD,87400.0,1725.0,89125.0,2023,Lucid
Air Pure RWD,89400.0,1725.0,91125.0,2023,Lucid
Air Pure AWD,92900.0,1725.0,94625.0,2023,Lucid
Air Pure AWD,94900.0,1725.0,96625.0,2023,Lucid
Air Touring AWD,107400.0,1725.0,109125.0,2023,Lucid
Air Touring AWD,107400.0,1725.0,109125.0,2023,Lucid
Air Touring AWD,109400.0,1725.0,111125.0,2023,Lucid
Air Grand Touring AWD,138000.0,1725.0,139725.0,2023,Lucid
Air Grand Touring AWD,138000.0,1725.0,139725.0,2023,Lucid
Air Grand Touring AWD,140000.0,1725.0,141725.0,2023,Lucid
Air Grand Touring Performance,179000.0,1725.0,180725.0,2023,Lucid
Air Sapphire,249000.0,1725.0,250725.0,2023,Lucid
MX-30,34110.0,1375.0,35485.0,2023,Mazda
EQB,52750.0,1150.0,53900.0,2023,Mercedes
EQB,56900.0,1150.0,58050.0,2023,Mercedes
EQB,60550.0,1150.0,61700.0,2023,Mercedes
EQE,74900.0,1150.0,76050.0,2023,Mercedes
EQE,77900.0,1150.0,79050.0,2023,Mercedes
EQE,85900.0,1150.0,87050.0,2023,Mercedes
AMG EQE,106900.0,1150.0,108050.0,2023,Mercedes
EQE,77900.0,1150.0,79050.0,2023,Mercedes
EQE,77900.0,1150.0,79050.0,2023,Mercedes
EQE,89500.0,1150.0,90650.0,2023,Mercedes
EQS,104400.0,1150.0,105550.0,2023,Mercedes
EQS,107400.0,1150.0,108550.0,2023,Mercedes
EQS,125950.0,1150.0,127100.0,2023,Mercedes
AMG EQS,147550.0,1150.0,148700.0,2023,Mercedes
EQS,104400.0,1150.0,105550.0,2023,Mercedes
EQS,107400.0,1150.0,108550.0,2023,Mercedes
EQS,125950.0,1150.0,127100.0,2023,Mercedes
Cooper SE Hardtop,30900.0,995.0,31895.0,2024,MINI
Ariya Engage FWD (63 kWh),43190.0,1335.0,44525.0,2023,Nissan
