brand,model,de_price,uk_price,nl_price,acceleration,top_speed,range,efficiency,fastcharge,towing_capacity,useable_battery,v2l,v2h,v2g,availability,year
AUDI,E-TRON GT QUTRO,59017,52990,54993,50,217,435,172,670,1600,75.0,No,No,No,Available to order since February 2022,2023
AUDI,RS E-TRON GT QUTRO,44625,37195,42998,73,160,330,183,370,0,60.5,L,No,No,Available to order since August 2022,2023
AUDI,Q8 E-TRON,46220,39990,43993,61,201,420,137,700,1000,57.5,No,No,No,Available to order since September 2023,2023
AUDI,Q8 E-TRON SPORTBACK,55220,49990,51993,44,201,505,149,780,1000,75.0,No,No,No,Available to order since September 2023,2023
AUDI,Q8 E-TRON SPORTBACK,39990,29495,35785,79,160,360,171,630,500,61.7,L,No,No,Available to order since October 2022,2023
AUDI,Q4,47567,44990,45993,69,217,350,164,580,1600,57.5,No,No,No,Available to order since November 2022,2023
AUDI,Q4,53668,48695,50990,38,180,485,170,530,0,82.5,L,No,No,Available to order since September 2023,2023
AUDI,Q4 SPORTBACK,77300,69905,84998,61,200,360,197,480,2500,71.0,No,No,No,Available to order since October 2021,2023
BMW,I4 EDRIVE35,60000,59000,68000,70,180,520,165,800,0,86.0,No,H,G,Availability not found,2023
BMW,I4 EDRIVE35,59200,57890,62992,57,190,515,157,800,1600,80.7,No,No,No,Available to order since November 2021,2023
BMW,I4 EDRIVE40,23300,21000,24290,110,135,250,176,320,0,44.0,No,No,No,Availability not found,2023
BMW,I4 EDRIVE40,55000,47465,57850,56,180,380,170,550,1200,64.7,No,No,No,Available to order since November 2022,2023
BMW,I4 M50,42900,,,79,167,390,164,370,300,64.0,No,No,No,Available to order since June 2021,2023
BMW,I4 M50,45690,37295,39995,78,167,385,168,390,750,64.8,L,No,No,Available to order since June 2022,2023
BMW,I7 XDRIVE60,63667,59990,60993,37,250,415,181,640,1600,75.0,No,No,No,Available to order since March 2022,2023
BMW,I7 XDRIVE60,41790,38545,41495,53,180,370,173,550,1400,64.0,No,No,No,Available to order since June 2023,2023
BMW,I7 XDRIVE60,70805,,71490,39,180,475,180,450,0,85.4,L,No,No,Available to order since March 2023,2023
BMW,IX XDRIVE50,400000,350000,400000,45,250,465,219,540,0,102.0,No,No,No,Available to order since October 2023,2023
BMW,IX XDRIVE50,46600,36995,39370,74,160,380,158,530,900,60.0,No,No,No,Available to order since April 2022,2023
BMW,IX XDRIVE50,35990,30195,36490,70,160,340,178,340,0,60.5,L,No,No,Available to order since July 2023,2023
BMW,IX M60,42490,35950,41395,67,180,335,185,520,1600,62.0,No,No,No,Available to order since March 2023,2023
BMW,IX M60,47578,45695,47990,59,180,500,165,550,0,82.5,L,No,No,Available to order since September 2023,2023
CADILLAC,LYRIQ TECH RWD,56995,55570,61490,65,180,475,162,710,1200,77.0,No,H,G,Available to order since August 2023,2023
CADILLAC,LYRIQ TECH AWD,22550,,21750,191,125,165,152,180,0,25.0,No,No,No,Available to order since July 2022,2023
CHEVROLET,BOLT EV,110970,100000,110993,21,282,560,170,780,1600,95.0,No,No,No,Available to order since November 2022,2023
CHEVROLET,BOLT EUV LT,61100,50540,59395,51,185,440,168,1150,1500,74.0,L,No,No,Available to order since November 2022,2023
FORD,F-150 LIGHTNING PRO SR,95970,85000,95993,32,250,575,165,800,1600,95.0,No,No,No,Available to order since January 2023,2023
FORD,F-150 LIGHTNING PRO ER,70200,74105,77572,60,193,475,171,710,1500,81.2,No,No,No,Available to order since May 2023,2023
FORD,F-150 LIGHTNING XLT SR,67300,64165,71462,68,180,385,192,520,750,74.0,No,No,No,Available to order since September 2021,2023
FORD,F-150 LIGHTNING XLT ER,85300,77800,82985,56,200,505,210,640,1800,106.0,No,No,No,Available to order since December 2022,2023
FORD,F-150 LIGHTNING LARI SR,71400,,73300,46,180,360,240,330,1500,86.4,No,No,No,Available to order since August 2022,2023
FORD,F-150 LIGHTNING LARI ER,34990,31195,34490,90,150,235,159,390,0,37.3,No,No,No,Available to order since November 2020,2023
FORD,F-150 LIGHTNING PLINUM ER,37990,32995,40185,84,175,370,185,420,500,68.3,L,No,No,Available to order since November 2021,2023
FORD,MUSTANG MACH-E SELECT SR LFP RWD,100100,102755,105097,46,200,505,208,680,2500,105.2,No,No,No,Available to order since November 2021,2023
FORD,MUSTANG MACH-E SELECT SR LFP AWD,47490,46110,48995,75,160,340,188,510,750,64.0,No,No,No,Available to order since June 2022,2023
FORD,MUSTANG MACH-E PREMIUM SR LFP RWD,51990,45245,50995,73,185,410,180,1070,1600,74.0,L,No,No,Available to order since October 2021,2023
FORD,MUSTANG MACH-E PREMIUM SR LFP AWD,47567,44990,45993,69,217,350,164,810,1600,57.5,No,No,No,Available to order since May 2023,2023
FORD,MUSTANG MACH-E PREMIUM ER RWD,70800,71085,76786,39,225,450,179,700,1600,80.7,No,No,No,Available to order since November 2021,2023
FORD,MUSTANG MACH-E PREMIUM ER AWD,139900,113970,145453,47,240,510,199,760,2000,101.7,No,No,No,Available to order since November 2022,2023
FORD,MUSTANG MACH-E ROUTE,,,79995,49,200,370,243,430,1500,90.0,No,No,No,Available to order since December 2022,2023
FORD,MUSTANG MACH-E GT ER AWD,39100,31595,,81,150,285,162,460,0,46.3,No,No,No,Available to order since November 2021,2023
FORD,MUSTANG MACH-E GT PERF. ER AWD,47190,38595,43995,78,170,390,168,400,750,65.4,L,No,No,Available to order since July 2023,2023
