country,2022,2021,2020,2019,2018,2017
China,14100000.0,7842668.0,4508668.0,3349100.0,2243772.0,1227770.0
United States,7800000.0,2322291.0,1741566.0,1450020.0,1126000.0,764666.0
Germany,2960000.0,1380000.0,700000.0,305589.0,196750.0,129246.0
France,1877721.0,786274.0,470295.0,275575.0,204617.0,149797.0
United Kingdom,1385383.0,745000.0,434282.0,259200.0,197000.0,137000.0
Norway,990000.0,647000.0,480008.0,384066.0,296215.0,209122.0
Netherlands,950000.0,390454.0,297380.0,207922.0,145882.0,121540.0
Sweden,817471.0,355737.0,193054.0,97000.0,79579.0,49670.0
Japan,515838.0,337377.0,297181.0,267415.0,239242.0,205212.0
Canada,440000.0,297960.0,209075.0,141100.0,90100.0,45950.0
Europe,410000.0,5.67,3336141.0,1935010.0,1346435.0,940383.0
