name,de_price,uk_price,nl_price,acceleration_0-100km/h,top_speed,range,efficiency,fastcharge,towing_capacity(kg),availability
TeslaModel Y Long Range Dual Motor,"€59,017","£52,990","€54,993",5.0 sec,217 km/h,435 km,172 Wh/km,670 km/h,1600,Available to order since February 2022
BYDATTO 3,"€44,625","£37,195","€42,998",7.3 sec,160 km/h,330 km,183 Wh/km,370 km/h,,Available to order since August 2022
TeslaModel 3,"€46,220","£39,990","€43,993",6.1 sec,201 km/h,420 km,137 Wh/km,700 km/h,1000,Available to order since September 2023
TeslaModel 3 Long Range Dual Motor,"€55,220","£49,990","€51,993",4.4 sec,201 km/h,505 km,149 Wh/km,780 km/h,1000,Available to order since September 2023
TeslaModel Y,"€47,567","£44,990","€45,993",6.9 sec,217 km/h,350 km,164 Wh/km,580 km/h,1600,Available to order since November 2022
MGMG4 Electric 64 kWh,"€39,990","£29,495","€35,785",7.9 sec,160 km/h,360 km,171 Wh/km,630 km/h,500,Available to order since October 2022
BYDSEAL 82.5 kWh AWD Excellence,"€53,668","£48,695","€50,990",3.8 sec,180 km/h,485 km,170 Wh/km,530 km/h,,Available to order since September 2023
BMWiX xDrive40,"€77,300","£69,905","€84,998",6.1 sec,200 km/h,360 km,197 Wh/km,480 km/h,2500,Available to order since October 2021
Citroene-C3,"€23,300","* £21,000","€24,290",11.0 sec,135 km/h,250 km,176 Wh/km,320 km/h,,Availability not found
BMWi4 eDrive40,"€59,200","£57,890","€62,992",5.7 sec,190 km/h,515 km,157 Wh/km,800 km/h,1600,Available to order since November 2021
BMWiX1 xDrive30,"€55,000","£47,465","€57,850",5.6 sec,180 km/h,380 km,170 Wh/km,550 km/h,1200,Available to order since November 2022
HyundaiKona Electric 64 kWh,"€42,900",N/A,N/A,7.9 sec,167 km/h,390 km,164 Wh/km,370 km/h,300,Available to order since June 2021
KiaNiro EV,"€45,690","£37,295","€39,995",7.8 sec,167 km/h,385 km,168 Wh/km,390 km/h,750,Available to order since June 2022
VolvoEX30 Single Motor ER,"€41,790","£38,545","€41,495",5.3 sec,180 km/h,370 km,173 Wh/km,550 km/h,1400,Available to order since June 2023
